OBJECTID,COD_SIG,COD_SIG_ESTACIONAMENTO,MORADA,MORADA_DETALHE,FREGUESIA,LOCALIZACAO,TIPO_ESTACIONAMENTO,MODELO,NUM_SUPORTES,CAPACIDADE,COBERTO,BALIZADORES,DOMINIALIDADE,ESTACIONAMENTO_ESTADO,EQUIPAMENTO_SERVIDO,FONTE_LEVANTAMENTO,DATA_INSTALACAO,OBS,GlobalID,x,y
14990,287,287,"Rua C do Bairro da Liberdade, 70",Junto ciclovia,Campolide,Passeio,BICICLETA,Lisboa,2,4,Não,0,Público,Partilhado com Micromobilidade,,,,,e440e603-d663-4bbb-89be-e2e70246f361,-1020784.31257929,4683779.07327795
14991,288,288,Rua B do Bairro da Liberdade,Entrada Liberdade Atético Clube,Campolide,Passeio,BICICLETA,Lisboa,4,8,Não,0,Público,Partilhado com Micromobilidade,Equipamento Desportivo,,,,5f8ed6b0-2248-49b4-b878-d31c376e8af3,-1020733.85338628,4683702.10099803
14992,289,289,Azinhaga dos Ulmeiros,"Cruzamento com Azinhaga do Jogo da Bola, entrada Pingo Doce",Lumiar,Passeio,BICICLETA,Entorta rodas,1,6,Não,,Público,Partilhado com Micromobilidade,Equipamento Comercial - Supermercado,,,,ce201050-19a4-45b0-86cb-73128e846212,-1021171.9152316,4688605.27252142
14993,290,290,"Rua Rodriges Cabrilho
",Jardim Pulido Garcia,Belém,Passeio,BICICLETA,Sheffield estreito,2,4,Não,,Público,Partilhado com Micromobilidade,Equipamento Lazer - Jardim,,,,b6d50272-51f4-421d-ab78-3df211601276,-1025018.10975758,4679835.33253267
14994,291,291,Rua Prof. Mário Chicó,Cruzamento com Rua Prof. Henrique Vilhena,Lumiar,Passeio,BICICLETA,Onda,1,5,Não,0,Público,Partilhado com Micromobilidade,,DEPM,,,ed198cca-41c8-463e-9806-900a6a8d3ddc,-1020656.53093623,4687598.73046428
14995,292,292,"Estrada de Telheiras, 146",Biblioteca Orlando Ribeiro,Lumiar,Passeio,BICICLETA,Onda,1,5,Não,0,Público,Partilhado com Micromobilidade,Equipamento Cultural - Biblioteca,DEPM,,,ff9e75cb-38d4-411e-99c6-79be0b42622c,-1020719.42067775,4687323.49259575
14996,293,293,Praça Ginásio Clube Português,,Campo de Ourique,Passeio,BICICLETA,Cascata,2,10,Não,0,Público,Partilhado com Micromobilidade,,DEPM,,,78190dd6-c944-4c2a-a4b3-ede7c5951a1e,-1019310.1833917,4681866.13706859
14997,295,295,Avenida 24 de Julho,"Estação ferroviária de Santos, debaixo da ponte pedonal",Estrela,Passeio,BICICLETA,Sheffield standard,5,10,Não,,Público,Interdito Micromobilidade,Estação Ferroviária,,,,ba3d65b0-58db-4108-85e9-3052db1c274e,-1019118.17925641,4679687.89903109
14998,296,296,Avenida da Índia,"Estação ferroviária de Alcântara-Mar, dentro da estação na lateral do edifício",Estrela,Passeio,BICICLETA,Sheffield standard,4,8,Não,0,Público,Interdito Micromobilidade,Estação Ferroviária,,,,eb0f0e4d-98fd-485c-827c-cf53dc61b4a2,-1021233.3246843,4679147.89265798
14999,297,297,Alameda Padre Álvaro Proença,"Portas Mata de Benfica, próximo dos bancos",Benfica,Passeio,BICICLETA,Sheffield standard,3,6,Não,0,Público,Partilhado com Micromobilidade,,DEPM,11/24/2018 12:00:00 AM,,6fe28d8a-4e80-4846-8e59-89809c6481fe,-1024528.10305574,4685805.47742787
